1;1;Andalucí
2;2;Aragó
3;3;Asturias, Principado de
4;4;Balears, Illes
5;5;Canarias
6;6;Cantabria
7;7;Castilla y Leó
8;8;Castilla - La Mancha
9;9;Cataluñ
10;10;Comunitat Valenciana
11;11;Extremadura
12;12;Galicia
13;13;Madrid, Comunidad de
14;14;Murcia, Región d
15;15;Navarra, Comunidad Foral de
16;16;País Vasc
17;17;Rioja, La
18;18;Ceuta
19;19;Melilla
